UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
BA;Ribeirão do Largo;27/11/2020;BA-F-2926657-13214-20201123;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;8573;0;0;0;36;112;0;1000;28;9;405000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;30;32;1860000.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Ipiaú;01/12/2020;BA-F-2913903-12100-20201123;12100 - Inundações;Reconhecido;44430;0;0;0;31;65;0;0;22;19;461000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Andaraí;20/11/2020;BA-F-2901304-12100-20201120;12100 - Inundações;Reconhecido;13948;0;0;0;0;0;0;300;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;2;0;61078.52;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Ibirataia;08/12/2020;BA-F-2912905-13214-20201119;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Registro;18946;0;0;0;0;0;0;350;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;6;3;210000.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Morro do Chapéu;20/11/2020;BA-F-2921708-13214-20201118;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;35207;0;0;0;0;20;0;0;23;0;115000.0;0;0;0.0;1;0;7000.0;0;0;0.0;0;0;0.0;1;0;6000.0;DE 5% A 10%;;;DE 5% A 10%;;10000.0;42000.0;26000.0;18000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35000.0;0.0
BA;São Gabriel;05/11/2020;BA-F-2929255-13214-20201104;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Não reconhecido;18419;0;0;0;6;76;0;0;19;1;145000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;395000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Irecê;04/11/2020;BA-F-2914604-13214-20201103;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;66404;0;0;0;276;1200;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;102160.0;133000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Ibicuí;04/11/2020;BA-F-2912301-13214-20201103;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;15786;0;0;0;72;260;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Almadina;04/11/2020;BA-F-2900900-13214-20201103;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;6360;0;0;0;8;40;0;1036;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;6;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Coaraci;04/11/2020;BA-F-2908002-13214-20201103;13214 - Tempestade Local/Convectiva - Chuvas Intensas;Reconhecido;20964;0;0;0;4;256;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
