Ministério do Desenvolvimento Regional
Secretaria Nacional de Proteção e Defesa Civil 
Relatório Gerencial - Danos Informados
Data Inicial: 01/01/2021 Data Final: 01/01/2022 UF: BA
UF;Município;Registro;Protocolo;COBRADE;Status;População;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros Afetados;DM_Unidades Habitacionais Danificadas;DM_Unidades Habitacionais Destruídas;DM_Unidades Habitacionais Valor;DM_Instalações públicas de saúde Danificadas;DM_Instalações públicas de saúde Destruídas;DM_Instalações públicas de saúde Valor;DM_Instalações públicas de ensino Danificadas;DM_Instalações públicas de ensino Destruídas;DM_Instalações públicas de ensino Valor;DM_Instalações públicas prestadoras de outros serviços Danificadas;DM_Instalações públicas prestadoras de outros serviços Destruídas;DM_Instalações públicas prestadoras de outros serviços Valor;DM_Instalações públicas de uso comunitário Danificadas;DM_Instalações públicas de uso comunitário Destruídas;DM_Instalações públicas de uso comunitário Valor;DM_Obras de infraestrutura pública Danificadas;DM_Obras de infraestrutura pública Destruídas;DM_Obras de infraestrutura pública Valor;DA_Poluição ou contaminação da água;DA_Poluição ou contaminação do ar;DA_Poluição ou contaminação do solo;DA_Diminuição ou exaurimento hídrico;DA_Incêndios em parques, APA's ou APP's;PEPL_Assistência médica, saúde pública e atendimento de emergências médicas (R$);PEPL_Abastecimento de água potável (R$);PEPL_Esgoto de águas pluviais e sistema de esgotos sanitários (R$);PEPL_Sistema de limpeza urbana e de recolhimento e destinação do lixo (R$);PEPL_Sistema de desinfestação/desinfecção do habitat/controle de pragas e vetores (R$);PEPL_Geração e distribuição de energia elétrica (R$);PEPL_Telecomunicações (R$);PEPL_Transportes locais, regionais e de longo curso (R$);PEPL_Distribuição de combustíveis, especialmente os de uso doméstico (R$);PEPL_Segurança pública (R$);PEPL_Ensino (R$);PEPR_Agricultura (R$);PEPR_Pecuária (R$);PEPR_Indústria (R$);PEPR_Comércio (R$);PEPR_Serviços (R$)
BA;Rafael Jambeiro;25/01/2022;BA-F-2925956-12300-20211229;12300 - Alagamentos;Registro;25555;0;0;0;55;945;0;0;0;2;300000.0;3;0;500000.0;4;0;350000.0;0;0;0.0;4;0;700000.0;30;0;1.0E7;;;;;;2000000.0;300000.0;250000.0;450000.0;150000.0;0.0;0.0;2000000.0;0.0;200000.0;450000.0;1000000.0;1300000.0;0.0;1200000.0;1500000.0
BA;Ibiassucê;30/12/2021;BA-F-2912004-12300-20211228;12300 - Alagamentos;Reconhecido;10077;0;0;0;0;0;0;4800;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;MAIS DE 20%;;0.0;120000.0;0.0;250000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3500000.0
BA;Serra do Ramalho;10/02/2022;BA-F-2930154-12300-20211228;12300 - Alagamentos;Não reconhecido;31646;0;0;0;0;0;0;608;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;1981000.0;MAIS DE 20%;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;400000.0;0.0;0.0;0.0;50000.0;1000000.0;0.0;0.0;20000.0
BA;Buerarema;29/12/2021;BA-F-2904704-12300-20211227;12300 - Alagamentos;Reconhecido;18622;0;0;0;51;180;0;1009;5;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Paratinga;31/12/2021;BA-F-2923704-12300-20211227;12300 - Alagamentos;Reconhecido;29475;0;0;0;250;1100;0;0;250;0;6250000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Cândido Sales;27/12/2021;BA-F-2906709-12300-20211226;12300 - Alagamentos;Reconhecido;27916;0;0;0;149;130;0;13431;400;20;9512224.0;1;1;671600.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;MAIS DE 20%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Gongogi;27/12/2021;BA-F-2911501-12300-20211226;12300 - Alagamentos;Registro;8344;0;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Camamu;08/01/2022;BA-F-2905800-12300-20211226;12300 - Alagamentos;Registro;35160;0;0;0;7;62;0;0;0;7;150000.0;3;0;35000.0;0;0;0.0;0;0;0.0;0;10;0.0;20;15;150000.0;;;;;;0.0;30000.0;40000.0;15000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BA;Nova Ibiá;10/01/2022;BA-F-2922755-12300-20211225;12300 - Alagamentos;Não reconhecido;6648;0;0;0;0;0;0;221;4;0;100000.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;50000.0;0;0;50000.0;;;;;;0.0;3000.0;20000.0;30000.0;15000.0;0.0;0.0;7000.0;25000.0;0.0;0.0;50000.0;0.0;0.0;0.0;15000.0
BA;Pau Brasil;30/12/2021;BA-F-2923902-12300-20211225;12300 - Alagamentos;Registro;10853;0;0;0;24;211;0;0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
